Q2a,Q2b,Q87a,Q87b,Q87c,Q87d,Q87e,Q90a,Q90b,Q90c,Q90f
1,63,3,3,3,3,3,2,2,2,2
2,58,2,3,2,3,2,2,3,2,2
2,32,2,2,3,2,3,2,2,2,2
1,35,3,2,2,2,3,2,2,2,2
2,27,2,2,3,3,2,2,4,2,2
1,19,2,2,2,2,3,2,1,2,1
1,23,2,3,3,3,3,1,1,2,1
2,24,3,3,1,2,3,2,2,2,1
2,22,3,3,2,2,3,2,1,2,1
2,54,3,2,2,3,3,3,2,3,1
2,38,2,4,2,4,3,2,2,2,2
1,38,2,3,3,2,2,2,2,2,2
1,41,3,3,3,3,3,2,2,3,2
2,45,2,2,2,2,2,3,4,3,3
1,38,2,2,3,3,2,2,2,2,2
1,28,2,3,2,3,3,2,1,1,1
1,23,2,2,3,3,3,2,2,1,3
1,24,3,3,2,2,2,2,1,2,1
2,40,2,2,2,2,2,2,1,2,1
1,25,2,3,2,3,2,2,2,3,1
1,57,5,3,4,4,4,3,2,4,1
2,58,4,4,4,4,4,4,4,3,1
1,55,3,3,3,3,3,3,1,2,1
2,19,2,2,2,2,2,2,2,2,1
2,18,3,3,3,3,4,3,3,3,1
2,50,3,4,3,4,4,2,2,2,2
2,43,3,4,4,3,3,2,3,2,3
1,30,3,3,3,3,3,3,2,2,3
2,38,2,3,2,4,3,2,2,3,2
1,38,2,2,2,2,2,3,3,3,2
1,23,4,5,3,5,4,3,1,2,1
1,19,3,2,3,2,3,2,2,4,1
2,19,3,3,3,2,3,2,1,2,1
2,20,2,2,2,2,4,2,2,2,1
2,18,2,2,3,3,4,1,2,1,1
1,58,3,2,2,2,2,2,2,2,2
2,57,5,5,3,4,5,1,2,2,3
1,34,3,4,3,3,3,2,2,2,2
2,51,3,3,2,3,2,2,2,2,3
1,33,2,3,2,3,2,2,2,3,3
1,23,3,3,3,2,4,2,2,3,1
1,24,2,2,2,2,2,1,1,1,2
2,22,2,3,3,2,3,2,1,2,1
1,24,3,3,3,2,3,2,1,2,1
1,21,3,3,3,3,3,2,1,2,1
2,47,3,3,2,3,2,2,3,3,2
1,47,2,2,2,3,2,2,2,2,2
1,43,2,2,2,2,2,2,2,2,2
2,25,2,4,2,3,3,2,3,3,2
2,30,2,3,4,3,2,2,3,3,2
2,37,2,3,2,3,2,2,2,2,2
2,40,3,2,3,2,3,2,3,3,2
1,29,2,2,2,2,2,2,2,2,2
2,30,3,4,4,3,2,3,3,3,3
1,47,2,3,2,3,2,2,2,2,2
2,24,2,2,2,2,3,2,1,2,1
1,28,2,2,2,3,3,2,1,2,1
1,23,1,1,2,2,2,1,1,1,1
1,20,2,2,2,2,2,2,1,2,1
1,49,2,2,2,2,3,2,3,3,1
1,55,2,2,3,3,2,2,2,2,2
2,53,2,2,2,3,2,2,2,2,2
2,27,3,3,3,3,3,3,3,4,2
2,47,4,3,4,3,3,2,3,2,2
1,48,3,3,3,3,2,3,3,2,3
2,32,3,4,4,4,5,3,2,3,1
2,24,3,3,4,4,5,3,3,3,1
2,45,3,3,2,4,3,3,2,3,3
2,34,3,4,3,3,4,3,2,3,1
1,24,3,3,3,4,4,3,3,3,2
2,40,5,6,3,6,1,2,1,1,1
1,33,3,3,4,3,2,2,1,2,1
2,30,3,3,3,3,3,3,2,3,2
2,40,2,2,2,5,2,2,2,2,2
2,24,3,3,3,2,3,2,2,2,2
1,27,3,3,3,3,3,2,2,2,2
2,44,3,4,2,2,2,2,2,2,2
